stencil,Moran_I,expected_I,p_sim,z_sim,permutations,global_permutation_seconds,islands,valid_nonisland,raw_significant_total,inferential_significant,inferential_significant_share,HH_significant,LH_significant,LL_significant,HL_significant,raw_significant_nodata,raw_significant_islands,standardization_seconds,spatial_lag_seconds,global_reduction_seconds,permutation_randomization_seconds,permutation_spatial_lag_seconds,permutation_reduction_seconds,used_VRAM_GiB,peak_CuPy_pool_GiB,effective_batch_size,OOM_fallback_used
rook,0.6121386780581684,-1.6361371652320198e-07,0.001,2167.027554940529,999,9.394741686000089,50,6111908,403255,403205,0.0659703974601711,120318,294,230428,52165,0,50,0.0376656500002354,0.0079160939994835,0.0389501990002827,1.0036669500013886,7.417036761001327,0.9740379749973728,8.33392333984375,7.868378639221191,,
queen,0.5834607333411405,-1.6361371652320198e-07,0.001,2924.175273646312,999,10.51199297599578,10,6111948,1174898,1174888,0.19222807523886,344042,2918,658105,169823,0,10,0.037147406999793,0.009325944000011,0.0388666039998497,1.0061193689971333,8.528928769997037,0.9769448370016108,10.11126708984375,9.640032291412354,,
d2_r2,0.5826043914844692,-1.6361371652320198e-07,0.001,3141.484315550497,999,11.594130730995856,8,6111950,1360051,1360043,0.2225219447148618,444521,3526,721755,190241,0,8,0.0370380659996953,0.0107108039992454,0.0387700179999228,1.0074505280017547,9.609084835998146,0.9775953669959564,9.95892333984375,9.490787029266356,,
